k,n,id,orders,generator,P,P_coe,E,E_coe,H,H_coe,D,D_coe,Element,gen_coe
11,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
11,3,0,3,,,,"[Toda] Th13.9,\ 3\alpha'_3(5)=\alpha_3(5)",3 0 0 0 0 0 0 0 0 0 0 0,"[Toda3]p44,\ H:\pi_{3+k}^3\cong Q_k^1, \ for \ k\neq0",,,,4,1 0 0 0 0 0 0 0 0 0 0 0
11,5,0,9,,,,,1 0 0 0 0 0 0 0 0 0 0 0,"[Toda3]Th4.3(3),\ H(\alpha'_{3}(5))=A_{1}",,,,5,1 0 0 0 0 0 0 0 0 0 0 0
11,7,0,9,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,5,1 0 0 0 0 0 0 0 0 0 0 0
11,9,0,9,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,5,1 0 0 0 0 0 0 0 0 0 0 0
11,11,0,9,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,5,1 0 0 0 0 0 0 0 0 0 0 0
11,13,0,9,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,5,1 0 0 0 0 0 0 0 0 0 0 0
11,,,,,,,,,,,,,,
12,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
12,3,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
12,5,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
12,7,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
12,9,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
12,11,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
12,13,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
12,14,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
12,,,,,,,,,,,,,,
13,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
13,3,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,"[Toda3]p48, \ H(\alpha_1(3)\beta_1(6))=b",,,, 1 3,1 0 0 0 0 0 0 0 0 0 0 0
13,5,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,, 1 3,1 0 0 0 0 0 0 0 0 0 0 0
13,7,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,, 1 3,1 0 0 0 0 0 0 0 0 0 0 0
13,9,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,, 1 3,1 0 0 0 0 0 0 0 0 0 0 0
13,11,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,, 1 3,1 0 0 0 0 0 0 0 0 0 0 0
13,13,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,, 1 3,1 0 0 0 0 0 0 0 0 0 0 0
