k,n,id,orders,generator,P,P_coe,E,E_coe,H,H_coe,D,D_coe,Element,gen_coe
26,3,0,3,,,,E^2 P=0,0 0 0 0 0 0 0 0 0 0 0 0,,,,,23,1 0 0 0 0 0 0 0 0 0 0 0
26,3,1,3,,,,E^2 P=0,0 0 0 0 0 0 0 0 0 0 0 0,"[Toda3]Th5.1, \ HP(b^{2})=ab^{2}",,,,24,0 1 0 0 0 0 0 0 0 0 0 0
26,5,0,3,,,,E^2 P=0,0 0 0 0 0 0 0 0 0 0 0 0,HP(\overline{Q}^{3}(\alpha_{4}))=Q^{2}(\alpha_{5}),,,,23,1 0 0 0 0 0 0 0 0 0 0 0
26,7,0,3,,,,E^2 P=0,0 0 0 0 0 0 0 0 0 0 0 0,HP(\overline{Q}^{4}(\alpha_{3}))=Q^{3}(\alpha_{4}),,,,23,1 0 0 0 0 0 0 0 0 0 0 0
26,9,0,3,,,,E^2 P=0,0 0 0 0 0 0 0 0 0 0 0 0,HP(\overline{Q}^{5}(\alpha_{2}))=Q^{4}(\alpha'_{3}),,,,23,1 0 0 0 0 0 0 0 0 0 0 0
26,9,1,3,,,,,0 1 0 0 0 0 0 0 0 0 0 0,"[Toda3]p48, \ H(\beta_{2}(9))=B",,,,28,0 1 0 0 0 0 0 0 0 0 0 0
26,11,0,3,,,,E^2 P=0,0 0 0 0 0 0 0 0 0 0 0 0,HP(\overline{Q}^{6}(\alpha_{1}))=Q^{5}(\alpha_{2}),,,,23,1 0 0 0 0 0 0 0 0 0 0 0
26,11,1,3,,,,,0 1 0 0 0 0 0 0 0 0 0 0,HE^{2}=0,,,,28,0 1 0 0 0 0 0 0 0 0 0 0
26,13,0,3,,,,E^2 P=0,0 0 0 0 0 0 0 0 0 0 0 0,HP(Q^{7}(\iota))=Q^{6}(\alpha_{1}),,,,23,1 0 0 0 0 0 0 0 0 0 0 0
26,13,1,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,28,0 1 0 0 0 0 0 0 0 0 0 0
26,15,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,28,1 0 0 0 0 0 0 0 0 0 0 0
26,17,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,28,1 0 0 0 0 0 0 0 0 0 0 0
26,19,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,28,1 0 0 0 0 0 0 0 0 0 0 0
26,21,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,28,1 0 0 0 0 0 0 0 0 0 0 0
26,23,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,28,1 0 0 0 0 0 0 0 0 0 0 0
26,25,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,28,1 0 0 0 0 0 0 0 0 0 0 0
26,27,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,28,1 0 0 0 0 0 0 0 0 0 0 0
26,28,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,28,1 0 0 0 0 0 0 0 0 0 0 0
27,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
27,3,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,"[Toda3]Th4.3(3),\ H(\alpha_{7}(3))=A_6",,,,31,1 0 0 0 0 0 0 0 0 0 0 0
27,3,1,3,,,,E^2 P=0,0 0 0 0 0 0 0 0 0 0 0 0,"[Toda3]p48, \ HP(\overline{Q}^{2}(\beta_{1}^{2}))=AB^{2}",,,,32,0 1 0 0 0 0 0 0 0 0 0 0
27,5,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,31,1 0 0 0 0 0 0 0 0 0 0 0
27,7,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,31,1 0 0 0 0 0 0 0 0 0 0 0
27,9,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,31,1 0 0 0 0 0 0 0 0 0 0 0
27,11,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,HE^{2}=0,,,,31,1 0 0 0 0 0 0 0 0 0 0 0
27,13,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,31,1 0 0 0 0 0 0 0 0 0 0 0
27,15,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,31,1 0 0 0 0 0 0 0 0 0 0 0
27,17,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,31,1 0 0 0 0 0 0 0 0 0 0 0
27,19,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,31,1 0 0 0 0 0 0 0 0 0 0 0
27,21,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,31,1 0 0 0 0 0 0 0 0 0 0 0
27,23,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,31,1 0 0 0 0 0 0 0 0 0 0 0
27,25,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,31,1 0 0 0 0 0 0 0 0 0 0 0
27,27,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,31,1 0 0 0 0 0 0 0 0 0 0 0
27,29,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,31,1 0 0 0 0 0 0 0 0 0 0 0
27,,,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
28,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
28,3,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
28,5,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
28,7,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
28,9,0,3,,,,E^2 P=0,0 0 0 0 0 0 0 0 0 0 0 0,"[Toda3]Th5.2(1),\ HP(b)=ab",,,,17,1 0 0 0 0 0 0 0 0 0 0 0
28,11,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
28,13,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
28,15,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
28,17,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
28,19,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
28,21,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
28,23,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
28,25,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
28,27,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
28,29,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
28,31,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
29,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
29,3,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
29,5,0,3,,,,"[Toda,Ite2]Lem11.2, \ E^2(\alpha_{1}\beta_{2}(5))=\alpha_{1}(7)\beta_{2}(10)",1 0 0 0 0 0 0 0 0 0 0 0,,,,,33,1 0 0 0 0 0 0 0 0 0 0 0
29,7,0,3,,,,,,,,,,1 28,1 0 0 0 0 0 0 0 0 0 0 0
29,9,0,3,,,,,,H E^{2}=0,,,,1 28,1 0 0 0 0 0 0 0 0 0 0 0
29,9,1,3,,,,E^2 P=0,0 0 0 0 0 0 0 0 0 0 0 0,"[Toda3]Th5.2(1),\ HP(\overline{Q}^{4}(\beta_{1}))=AB",,,,34,0 1 0 0 0 0 0 0 0 0 0 0
29,11,0,3,,,,,,,,,,1 28,1 0 0 0 0 0 0 0 0 0 0 0
29,13,0,3,,,,,,,,,,1 28,1 0 0 0 0 0 0 0 0 0 0 0
29,15,0,3,,,,,,,,,,1 28,1 0 0 0 0 0 0 0 0 0 0 0
29,17,0,3,,,,,,,,,,1 28,1 0 0 0 0 0 0 0 0 0 0 0
29,19,0,3,,,,,,,,,,1 28,1 0 0 0 0 0 0 0 0 0 0 0
29,21,0,3,,,,,,,,,,1 28,1 0 0 0 0 0 0 0 0 0 0 0
29,23,0,3,,,,,,,,,,1 28,1 0 0 0 0 0 0 0 0 0 0 0
29,25,0,3,,,,,,,,,,1 28,1 0 0 0 0 0 0 0 0 0 0 0
29,27,0,3,,,,,,,,,,1 28,1 0 0 0 0 0 0 0 0 0 0 0
29,29,0,3,,,,,,,,,,1 28,1 0 0 0 0 0 0 0 0 0 0 0
29,31,0,3,,,,,,,,,,1 28,1 0 0 0 0 0 0 0 0 0 0 0
30,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
30,3,0,3,,,,E^{2}P=0,,"[Toda3]Th4.2(2),\ H(\alpha_{8}^{*}(3))=a_{7}",,,,35,1 0 0 0 0 0 0 0 0 0 0 0
30,5,0,3,,,,E^{2}P=0,,"[Toda3]Th4.2(2),\ H(\alpha_{8}^{*}(5))=a_{6}",,,,35,1 0 0 0 0 0 0 0 0 0 0 0
30,5,1,3,,,,,,"[Toda3]Th5.2(3),\ H(\beta_{1}(5)^{3})=ab^{2}",,,,3 3 3,0 1 0 0 0 0 0 0 0 0 0 0
30,7,0,3,,,,E^{2}P=0,,"[Toda3]Th4.2(2),\ H(\alpha_{8}^{*}(7))=a_{5}",,,,35,1 0 0 0 0 0 0 0 0 0 0 0
30,7,1,3,,,,,,,,,,3 3 3,0 1 0 0 0 0 0 0 0 0 0 0
30,9,0,3,,,,E^{2}P=0,,"[Toda3]Th4.2(2),\ H(\alpha_{8}^{*}(9))=a_{4}",,,,35,1 0 0 0 0 0 0 0 0 0 0 0
30,9,1,3,,,,,,,,,,3 3 3,0 1 0 0 0 0 0 0 0 0 0 0
30,11,0,3,,,,E^{2}P=0,,"[Toda3]Th4.2(2),\ H(\alpha_{8}^{*}(11))=a_{3}",,,,35,1 0 0 0 0 0 0 0 0 0 0 0
30,11,1,3,,,,,,,,,,3 3 3,0 1 0 0 0 0 0 0 0 0 0 0
30,13,0,3,,,,E^{2}P=0,,"[Toda3]Th4.2(2),\ H(\alpha_{8}^{*}(13))=a_{2}",,,,35,1 0 0 0 0 0 0 0 0 0 0 0
30,13,1,3,,,,,,,,,,3 3 3,0 1 0 0 0 0 0 0 0 0 0 0
30,15,0,3,,,,E^{2}P=0,,"[Toda3]Th4.2(2),\ H(\alpha_{8}^{*}(15))=a_{1}",,,,35,1 0 0 0 0 0 0 0 0 0 0 0
30,15,1,3,,,,,,,,,,3 3 3,0 1 0 0 0 0 0 0 0 0 0 0
30,17,0,3,,,,,,,,,,3 3 3,1 0 0 0 0 0 0 0 0 0 0 0
30,19,0,3,,,,,,,,,,3 3 3,1 0 0 0 0 0 0 0 0 0 0 0
30,21,0,3,,,,,,,,,,3 3 3,1 0 0 0 0 0 0 0 0 0 0 0
30,23,0,3,,,,,,,,,,3 3 3,1 0 0 0 0 0 0 0 0 0 0 0
30,25,0,3,,,,,,,,,,3 3 3,1 0 0 0 0 0 0 0 0 0 0 0
30,27,0,3,,,,,,,,,,3 3 3,1 0 0 0 0 0 0 0 0 0 0 0
30,29,0,3,,,,,,,,,,3 3 3,1 0 0 0 0 0 0 0 0 0 0 0
30,31,0,3,,,,,,,,,,3 3 3,1 0 0 0 0 0 0 0 0 0 0 0
30,33,0,3,,,,,,,,,,3 3 3,1 0 0 0 0 0 0 0 0 0 0 0
31,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
31,3,0,3,,,,,,"[Toda3]Th4.3(3),\ H(\alpha_{8}(3))=A_{7}",,,,36,1 0 0 0 0 0 0 0 0 0 0 0
31,5,0,3,,,,,,HE^{2}=0,,,,36,1 0 0 0 0 0 0 0 0 0 0 0
31,5,1,3,,,,E^{2}P=0,,"[Toda3]Th5.2(2),\ H\Delta\xi(ab,b^{2})=HP(B^{2})=AB^{2}",,,,18,0 1 0 0 0 0 0 0 0 0 0 0
31,7,0,3,,,,,,,,,,36,1 0 0 0 0 0 0 0 0 0 0 0
31,7,1,3,,,,"E^{2}\xi(ab,b^{2})\ne0",,"[Toda3]Th5.2(2), \ H(\xi(ab,b^{2}))=b^{2}",,,,18,0 1 0 0 0 0 0 0 0 0 0 0
31,9,0,3,,,,,,HE^{2}=0,,,,36,1 0 0 0 0 0 0 0 0 0 0 0
31,9,1,3,,,,E^{2}P=0,,HE^{2}=0,,,,18,0 1 0 0 0 0 0 0 0 0 0 0
31,11,0,3,,,,,,,,,,36,1 0 0 0 0 0 0 0 0 0 0 0
31,13,0,3,,,,,,,,,,36,1 0 0 0 0 0 0 0 0 0 0 0
31,15,0,3,,,,,,,,,,36,1 0 0 0 0 0 0 0 0 0 0 0
31,17,0,3,,,,,,,,,,36,1 0 0 0 0 0 0 0 0 0 0 0
31,19,0,3,,,,,,,,,,36,1 0 0 0 0 0 0 0 0 0 0 0
31,21,0,3,,,,,,,,,,36,1 0 0 0 0 0 0 0 0 0 0 0
31,23,0,3,,,,,,,,,,36,1 0 0 0 0 0 0 0 0 0 0 0
31,25,0,3,,,,,,,,,,36,1 0 0 0 0 0 0 0 0 0 0 0
31,27,0,3,,,,,,,,,,36,1 0 0 0 0 0 0 0 0 0 0 0
31,29,0,3,,,,,,,,,,36,1 0 0 0 0 0 0 0 0 0 0 0
31,31,0,3,,,,,,,,,,36,1 0 0 0 0 0 0 0 0 0 0 0
31,33,0,3,,,,,,,,,,36,1 0 0 0 0 0 0 0 0 0 0 0
32,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
32,3,0,3,,,,,,"[Toda3]Th5.2(1),\ HP(b_{2})=ab_{2}",,,,37,1 0 0 0 0 0 0 0 0 0 0 0
32,5,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
32,7,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
32,9,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
32,11,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
32,13,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
32,15,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
32,17,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
32,19,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
32,21,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
32,23,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
32,25,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
32,27,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
32,29,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
32,31,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
32,33,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
32,35,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
33,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
33,3,0,3,,,,E^{2}P=0,,"[Toda3]Th5.2(1),\ HP(B_{2})=AB_{2}",,,,38,1 0 0 0 0 0 0 0 0 0 0 0
33,3,1,3,,,,,,"[Toda3]p48, \ H(\alpha_1(3)\beta_1(6))=b",,,,1 3 3 3,0 1 0 0 0 0 0 0 0 0 0 0
33,5,0,3,,,,,,,,,,1 3 3 3,1 0 0 0 0 0 0 0 0 0 0 0
33,7,0,3,,,,,,,,,,1 3 3 3,1 0 0 0 0 0 0 0 0 0 0 0
33,9,0,3,,,,,,,,,,1 3 3 3,1 0 0 0 0 0 0 0 0 0 0 0
33,11,0,3,,,,"[Toda3]Th5.2(3),\ 3v=\alpha_{1}\beta_{1}^{3}(13)",,,,,,1 3 3 3,1 0 0 0 0 0 0 0 0 0 0 0
33,11,1,3,,,,E^{2}P=0,,"[Toda3]Th5.2(3),\ HP(B)=AB",,,,39,0 1 0 0 0 0 0 0 0 0 0 0
33,13,0,9,,,,"[Toda3]Th5.2(3),\ E^{2}v=P(a)",,"[Toda3]Th5.2(3),\ H(v)=b",,,,40,1 0 0 0 0 0 0 0 0 0 0 0
33,15,0,3,,,,E^{2}P=0,,HE^{2}=0,,,,40,1 0 0 0 0 0 0 0 0 0 0 0
33,17,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
33,19,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
33,21,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
33,23,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
33,25,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
33,27,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
33,29,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
33,31,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
33,33,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
33,35,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
34,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
34,3,0,3,,,,"[Toda3]Th4.3(1),\ E^{2}\alpha_{9}^{*}(3)=3\alpha_{9}^{*}{'}(5)",,"[Toda3]Th4.3(5),\ H(\alpha_{9}^{*}(3))=a_{8}",,,,41,1 0 0 0 0 0 0 0 0 0 0 0
34,3,1,3,,,,"[Toda3]Prop5.3,\ E^{2}\xi(B^{3},AB^{2})=P(AB^{2})\ne0",,"[Toda3]Prop5.3,\ H(\xi(B^{3},AB^{2}))=B^{3}",,,,42,0 1 0 0 0 0 0 0 0 0 0 0
34,5,0,9,,,,"[Toda3]Th4.3(1),\ E^{2}\alpha_{9}^{*}{'}(5)=3\alpha_{9}^{*(2)}(7)",,"[Toda3]Th4.3(5),\ H(\alpha_{9}^{*}{'}(5))=a_{7}",,,,43,1 0 0 0 0 0 0 0 0 0 0 0
34,5,1,3,,,,E^{2}P=0,,HE^{2}=0,,,,42,0 1 0 0 0 0 0 0 0 0 0 0
34,7,0,27,,,,"[Toda3]Th4.3(1),\ E^{2}\alpha_{9}^{*(2)}(7)=3\alpha_{9}^{*(2)}(9)",,"[Toda3]Th4.3(5),\ H(\alpha_{9}^{*(2)}(7))=a_{6}",,,,46,1 0 0 0 0 0 0 0 0 0 0 0
34,7,1,3,,,,E^{2}P=0,,"[Toda3]Th5.2(2),\ HP(b^{2})=ab^{2}",,,,44,0 1 0 0 0 0 0 0 0 0 0 0
34,9,0,27,,,,"[Toda3]Th4.3(1),\ E^{2}\alpha_{9}^{*(2)}(11)=3\alpha_{9}^{*(2)}(13)",,"[Toda3]Th4.3(5),\ H(\alpha_{9}^{*(2)}(9))=a_{5}",,,,46,1 0 0 0 0 0 0 0 0 0 0 0
34,11,0,27,,,,"[Toda3]Th4.3(1),\ E^{2}\alpha_{9}^{*(2)}(11)=3\alpha_{9}^{*(2)}(13)",,"[Toda3]Th4.3(5),\ H(\alpha_{9}^{*(2)}(11))=a_{4}",,,,46,1 0 0 0 0 0 0 0 0 0 0 0
34,13,0,27,,,,"[Toda3]Th4.3(1),\ E^{2}\alpha_{9}^{*(2)}(13)=\alpha_{9}^{*}{'}(15)",,"[Toda3]Th4.3(5),\ H(\alpha_{9}^{*(2)}(13))=a_{3}",,,,46,1 0 0 0 0 0 0 0 0 0 0 0
34,15,0,9,,,,"[Toda3]Th4.3(1),\ E^{2}\alpha_{9}^{*}{'}(15)=\alpha_{9}^{*}(17)",,HE^{2}=0,,,,43,1 0 0 0 0 0 0 0 0 0 0 0
34,17,0,3,,,,E^{2}P=0,,HE^{2}=0,,,,41,1 0 0 0 0 0 0 0 0 0 0 0
34,19,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
34,21,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
34,23,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
34,25,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
34,27,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
34,29,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
34,31,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
34,33,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
34,35,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
34,37,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
35,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
35,3,0,3,,,,"[Toda3]Th4.3(2),\ E^{2}\alpha_{9}(3)=3\alpha'_{9}(5)",,"[Toda3]Th4.3(3),\ H(\alpha_{9}(3))=A_{8}",,,,48,1 0 0 0 0 0 0 0 0 0 0 0
35,5,0,9,,,,"[Toda3]Th4.3(2),\ E^{2}\alpha'_{9}(5)=3\alpha''_{9}(7)",,"[Toda3]Th4.3(3),\ H(\alpha'_{9}(5))=A_{7}",,,,49,1 0 0 0 0 0 0 0 0 0 0 0
35,7,0,27,,,,,,"[Toda3]Th4.3(3),\ H(\alpha''_{9}(7))=A_{6}",,,,50,1 0 0 0 0 0 0 0 0 0 0 0
35,9,0,27,,,,,,,,,,50,1 0 0 0 0 0 0 0 0 0 0 0
35,11,0,27,,,,,,,,,,50,1 0 0 0 0 0 0 0 0 0 0 0
35,13,0,27,,,,,,,,,,50,1 0 0 0 0 0 0 0 0 0 0 0
35,15,0,27,,,,,,,,,,50,1 0 0 0 0 0 0 0 0 0 0 0
35,17,0,27,,,,,,,,,,50,1 0 0 0 0 0 0 0 0 0 0 0
35,19,0,27,,,,,,,,,,50,1 0 0 0 0 0 0 0 0 0 0 0
35,21,0,27,,,,,,,,,,50,1 0 0 0 0 0 0 0 0 0 0 0
35,23,0,27,,,,,,,,,,50,1 0 0 0 0 0 0 0 0 0 0 0
35,25,0,27,,,,,,,,,,50,1 0 0 0 0 0 0 0 0 0 0 0
35,27,0,27,,,,,,,,,,50,1 0 0 0 0 0 0 0 0 0 0 0
35,29,0,27,,,,,,,,,,50,1 0 0 0 0 0 0 0 0 0 0 0
35,31,0,27,,,,,,,,,,50,1 0 0 0 0 0 0 0 0 0 0 0
35,33,0,27,,,,,,,,,,50,1 0 0 0 0 0 0 0 0 0 0 0
35,35,0,27,,,,,,,,,,50,1 0 0 0 0 0 0 0 0 0 0 0
35,37,0,27,,,,,,,,,,50,1 0 0 0 0 0 0 0 0 0 0 0
36,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
36,3,0,3,,,,E^{2}P=0,,"[Toda3]Th5.3(1), \ HP(b^{3})=ab^{3}",,,,51,1 0 0 0 0 0 0 0 0 0 0 0
36,5,0,3,,,,,,"[Toda3]Th5.3(3), \ H(\beta_{1}(5)\beta_{2}(15))=ab_{2}",,,,3 28,1 0 0 0 0 0 0 0 0 0 0 0
36,7,0,3,,,,,,,,,,3 28,1 0 0 0 0 0 0 0 0 0 0 0
36,9,0,3,,,,,,HE^{2}=0,,,,3 28,1 0 0 0 0 0 0 0 0 0 0 0
36,9,1,3,,,,,,"[Toda3]Th5.3(2), \ H(\xi(AB,B^{2}))=B^{2}",,,,52,0 1 0 0 0 0 0 0 0 0 0 0
36,11,0,3,,,,,,,,,,3 28,1 0 0 0 0 0 0 0 0 0 0 0
36,11,1,3,,,,E^{2}P=0,,,,,,52,0 1 0 0 0 0 0 0 0 0 0 0
36,13,0,3,,,,,,,,,,3 28,1 0 0 0 0 0 0 0 0 0 0 0
36,13,1,3,,,,E^{2}P=0,,"[Toda3]Th5.3(2), \ HP(b)=ab",,,,53,0 1 0 0 0 0 0 0 0 0 0 0
36,15,0,3,,,,,,,,,,3 28,1 0 0 0 0 0 0 0 0 0 0 0
36,17,0,3,,,,,,,,,,3 28,1 0 0 0 0 0 0 0 0 0 0 0
36,19,0,3,,,,,,,,,,3 28,1 0 0 0 0 0 0 0 0 0 0 0
36,21,0,3,,,,,,,,,,3 28,1 0 0 0 0 0 0 0 0 0 0 0
36,23,0,3,,,,,,,,,,3 28,1 0 0 0 0 0 0 0 0 0 0 0
36,25,0,3,,,,,,,,,,3 28,1 0 0 0 0 0 0 0 0 0 0 0
36,27,0,3,,,,,,,,,,3 28,1 0 0 0 0 0 0 0 0 0 0 0
36,29,0,3,,,,,,,,,,3 28,1 0 0 0 0 0 0 0 0 0 0 0
36,31,0,3,,,,,,,,,,3 28,1 0 0 0 0 0 0 0 0 0 0 0
36,33,0,3,,,,,,,,,,3 28,1 0 0 0 0 0 0 0 0 0 0 0
36,35,0,3,,,,,,,,,,3 28,1 0 0 0 0 0 0 0 0 0 0 0
36,37,0,3,,,,,,,,,,3 28,1 0 0 0 0 0 0 0 0 0 0 0
36,39,0,3,,,,,,,,,,3 28,1 0 0 0 0 0 0 0 0 0 0 0
37,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
37,3,0,3,,,,E^{2}P=0,,"[Toda3]Th5.3(1), \ HP(B^{3})=AB^{3}",,,,54,1 0 0 0 0 0 0 0 0 0 0 0
37,5,0,3,,,,E^{2}P=0,,"[Toda3]Th5.3(3), \ HP(B_{2})=AB_{2}",,,,55,1 0 0 0 0 0 0 0 0 0 0 0
37,7,0,3,,,,,,"[Toda3]Th5.3(3), \ H(\epsilon'(7))=b_{2}",,,,56,1 0 0 0 0 0 0 0 0 0 0 0
37,9,0,3,,,,,,,,,,56,1 0 0 0 0 0 0 0 0 0 0 0
37,11,0,3,,,,,,,,,,56,1 0 0 0 0 0 0 0 0 0 0 0
37,13,0,3,,,,,,,,,,56,1 0 0 0 0 0 0 0 0 0 0 0
37,15,0,3,,,,,,,,,,56,1 0 0 0 0 0 0 0 0 0 0 0
37,17,0,3,,,,,,,,,,56,1 0 0 0 0 0 0 0 0 0 0 0
37,19,0,3,,,,,,,,,,56,1 0 0 0 0 0 0 0 0 0 0 0
37,21,0,3,,,,,,,,,,56,1 0 0 0 0 0 0 0 0 0 0 0
37,23,0,3,,,,,,,,,,56,1 0 0 0 0 0 0 0 0 0 0 0
37,25,0,3,,,,,,,,,,56,1 0 0 0 0 0 0 0 0 0 0 0
37,27,0,3,,,,,,,,,,56,1 0 0 0 0 0 0 0 0 0 0 0
37,29,0,3,,,,,,,,,,56,1 0 0 0 0 0 0 0 0 0 0 0
37,31,0,3,,,,,,,,,,56,1 0 0 0 0 0 0 0 0 0 0 0
37,33,0,3,,,,,,,,,,56,1 0 0 0 0 0 0 0 0 0 0 0
37,35,0,3,,,,,,,,,,56,1 0 0 0 0 0 0 0 0 0 0 0
37,37,0,3,,,,,,,,,,56,1 0 0 0 0 0 0 0 0 0 0 0
37,39,0,3,,,,,,,,,,56,1 0 0 0 0 0 0 0 0 0 0 0
38,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
38,3,0,3,,,,E^{2}P=0,,"[Toda3]Th4.2(2),\ H(\alpha_{10}^{*}(3))=a_{9}",,,,57,1 0 0 0 0 0 0 0 0 0 0 0
38,5,0,3,,,,E^{2}P=0,,"[Toda3]Th4.2(2),\ H(\alpha_{10}^{*}(5))=a_{8}",,,,57,1 0 0 0 0 0 0 0 0 0 0 0
