k,n,id,orders,generator,P,P_coe,E,E_coe,H,H_coe,Element,gen_coe,,
13,1,0,3,Q^{1}(\alpha'_{3}),,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
13,3,0,3,Q^{2}(\alpha_{2}),,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
13,5,0,3,Q^{3}(\alpha_{1}),,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
13,7,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
13,9,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
13,11,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
13,13,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
13,15,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
13,,,0,,,,,,,,0,,,
14,1,0,3,\overline{Q}^{1}(3\alpha'_{3}),,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
14,3,0,3,\overline{Q}^{2}(\alpha_{2}),P(\overline{Q}^{2}(\alpha_{2}))=s_{14}(3),,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
14,5,0,3,\overline{Q}^{3}(\alpha_{1}),P(\overline{Q}^{3}(\alpha_{1}))=s_{14}(5),,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
14,7,0,3,Q^{4}(\iota),P(Q^{4}(\iota))=s_{14}(7),,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
14,9,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
14,11,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
14,13,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
14,15,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
14,16,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
14,,,0,,,,,,,,0,,,
15,1,0,3,ab=Q^{1}(\alpha_{1}\beta_{1}),,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,ab
15,3,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
15,5,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
