id,display,kinds,k,n,orders,latex,
91,"\xi(ABB_{2},B^{2}B_{2})",4,50,3,3,"\xi(ABB_{2},B^{2}B_{2})",
92,\alpha_{13}^{*}(,0,50,3,3,\alpha_{13}^{*}(,
93,P(bb_{2}),3,50,7,3,P(bb_{2}),
94,P(b^{2}),3,50,15,3,P(b^{2}),
95,\alpha_{13}(,0,51,3,3,\alpha_{13}(,
96,"\xi(B^{4},BE')",4,51,3,3,"\xi(B^{4},BE')",
97,P(e'),3,51,7,3,P(e'),
98,P(B^{2}),3,51,15,3,P(B^{2}),
99,P(b^{2}b_{2}),3,52,3,3,P(b^{2}b_{2}),
100,"xi(AB_{2},BB_{2})",4,52,9,3,"xi(AB_{2},BB_{2})",
101,P(b_{2}),3,52,13,3,P(b_{2}),
102,P(b),3,52,21,3,P(b),
103,P(B^{2}B_{2}),3,53,3,3,P(B^{2}B_{2}),
104,P(be'),3,53,3,3,P(be'),
105,P(E_{1}),4,53,7,3,P(E_{1}),
106,v_{2}(,4,53,9,3,v_{2}(,
107,"\xi(B^{3},E')",4,53,9,3,"\xi(B^{3},E')",
108,P(B_{2}),4,53,13,3,P(B_{2}),
109,P(B),3,53,21,3,P(B),
110,\alpha_{14}^{*}(,0,54,3,3,\alpha_{14}^{*}(,
111,P(BE'),3,54,3,3,P(BE'),
112,P(bb_{2}),3,54,9,3,P(bb_{2}),
113,\alpha_{14}(,0,55,3,3,\alpha_{14}(,
114,P(BB_{2}),3,55,9,3,P(BB_{2}),
115,P(e'),3,55,9,3,P(e'),
116,"\xi(ab,b^{2})",4,55,3,3,"\xi(ab,b^{2})",
117,,,,,,,
118,v(,2,56,3,3,v(,
119,\xi(,2,56,7,9,\xi(,
120,P(b_{2}),3,56,15,3,P(b_{2}),
121,"\xi(abb_{2},b^{2}b_{2})",4,57,7,3,"\xi(abb_{2},b^{2}b_{2})",
122,\xi'(,2,57,7,9,\xi'(,
123,P(B_{2}),3,57,15,3,P(B_{2}),
124,"\xi(a,b)",4,57,25,3,"\xi(a,b)",
125,,,,,,,
126,,,,,,,
127,,,,,,,
128,,,,,,,
129,,,,,,,
130,,,,,,,
131,,,,,,,
132,,,,,,,
133,,,,,,,
134,,,,,,,
135,,,,,,,
136,,,,,,,
137,,,,,,,
138,,,,,,,
139,,,,,,,
140,,,,,,,
141,,,,,,,
142,,,,,,,
143,,,,,,,
144,,,,,,,
145,,,,,,,
146,,,,,,,
147,,,,,,,
148,,,,,,,
149,,,,,,,
150,,,,,,,
151,,,,,,,
152,,,,,,,
153,,,,,,,
154,,,,,,,
155,,,,,,,
156,,,,,,,
157,,,,,,,
158,,,,,,,
159,,,,,,,
160,,,,,,,
161,,,,,,,
162,,,,,,,
163,,,,,,,
164,,,,,,,
165,,,,,,,
166,,,,,,,
167,,,,,,,
168,,,,,,,
169,,,,,,,
170,,,,,,,
171,,,,,,,
172,,,,,,,
173,,,,,,,
174,,,,,,,
175,,,,,,,
176,,,,,,,
177,,,,,,,
178,,,,,,,
179,,,,,,,
180,,,,,,,
181,,,,,,,
182,,,,,,,
183,,,,,,,
184,,,,,,,
185,,,,,,,
186,,,,,,,
187,,,,,,,
188,,,,,,,
189,,,,,,,
190,,,,,,,
191,,,,,,,
192,,,,,,,
193,,,,,,,
194,,,,,,,
195,,,,,,,
196,,,,,,,
197,,,,,,,
198,,,,,,,
199,,,,,,,
200,,,,,,,
201,,,,,,,
202,,,,,,,
203,,,,,,,
204,,,,,,,
205,,,,,,,
206,,,,,,,
207,,,,,,,
208,,,,,,,
209,,,,,,,
210,,,,,,,
211,,,,,,,
212,,,,,,,
213,,,,,,,
214,,,,,,,
215,,,,,,,
216,,,,,,,
217,,,,,,,
218,,,,,,,
219,,,,,,,
220,,,,,,,
221,,,,,,,
222,,,,,,,
223,,,,,,,
224,,,,,,,
225,,,,,,,
226,,,,,,,
227,,,,,,,
228,,,,,,,
229,,,,,,,
300,,,,,,,
301,,,,,,,
302,,,,,,,
